date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:46	39251/39251	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2008:24:12%20GMT	https://jdih.lahatkab.go.id/dataweb/berita/penambahan-kasus-sembuh-lampaui-kasus-positif-covid-19.jpg	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/dataweb/berita/penambahan-kasus-sembuh-lampaui-kasus-positif-covid-19.jpg	(from https://jdih.lahatkab.go.id/)
12:59:47	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/code.jquery.com/jquery-3.4.1.min.js	(from https://jdih.lahatkab.go.id/)
12:59:47	79665/79665	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://jdih.lahatkab.go.id/)
12:59:47	8159/8159	---M--	200	added ('OK')	text/javascript	date:Mon,%2008%20Jan%202018%2010:14:10%20GMT	https://jdih.lahatkab.go.id/assets/frontend/lib/wow/wow.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/lib/wow/wow.min.js	(from https://jdih.lahatkab.go.id/)
12:59:47	2303/2303	---M--	200	added ('OK')	text/javascript	date:Mon,%2008%20Jan%202018%2010:14:10%20GMT	https://jdih.lahatkab.go.id/assets/frontend/lib/easing/easing.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/lib/easing/easing.min.js	(from https://jdih.lahatkab.go.id/)
12:59:47	9028/9028	---M--	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202017%2007:59:46%20GMT	https://jdih.lahatkab.go.id/assets/frontend/lib/waypoints/waypoints.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/lib/waypoints/waypoints.min.js	(from https://jdih.lahatkab.go.id/)
12:59:48	42766/42766	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20Feb%202017%2020:43:12%20GMT	https://jdih.lahatkab.go.id/assets/frontend/lib/owlcarousel/owl.carousel.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/lib/owlcarousel/owl.carousel.min.js	(from https://jdih.lahatkab.go.id/)
12:59:48	73163/73163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211dcb-beEOdKmS/KFegD2RDRMPgmYxy4Y%22	https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	(from https://jdih.lahatkab.go.id/)
12:59:48	1804/1804	---M--	200	added ('OK')	text/javascript	date:Sat,%2004%20Jan%202025%2015:16:54%20GMT	https://jdih.lahatkab.go.id/assets/frontend/js/main.js	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/js/main.js	(from https://jdih.lahatkab.go.id/)
12:59:49	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
12:59:49	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
12:59:49	4976/4976	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202017%2020:43:12%20GMT	https://jdih.lahatkab.go.id/assets/frontend/lib/owlcarousel/assets/owl.video.play.png	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/lib/owlcarousel/assets/owl.video.play.png	(from https://jdih.lahatkab.go.id/assets/frontend/lib/owlcarousel/assets/owl.carousel.min.css)
12:59:50	62287/62287	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jan%202022%2006:26:10%20GMT	https://jdih.lahatkab.go.id/assets/frontend/img/carousel-1.jpg	D:/Website%20LDLH/LDLH%20KAB%20LAHAT/jdih.lahatkab.go.id/assets/frontend/img/carousel-1.jpg	(from https://jdih.lahatkab.go.id/assets/frontend/css/style.css)
12:59:51	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
